code_year,prv,provider_name,ref_year,type,TEQSA_type,ownership,profit,affiliation,affil_status,eftsl_sum,primary_bfoe,primary_bfoe_prop,bfoe_entropy,bfoe_gini_impurity,postgrad_prop,int_prop,sessional_prop,senior_prop,ssr_all,ssr_salaried,success_dom,success_int,success_all,attrition_dom,attrition_int,attrition_all
4335-2014,PRV12010,Australian College of Theology Limited,2014,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,1387.181,soc_cult,1.0,0.0,0.0,0.467,0.051,0.252,0.084,19.74,26.395,91.75,87.79,91.55,26.02,25.0,25.99
4337-2014,PRV12149,Eastern College Australia Incorporated,2014,other,not_for_profit,private,not_for_profit,NUHEP,current,146.172,soc_cult,0.699,0.883,0.421,0.466,0.077,0.305,0.127,20.362,29.294,90.34,96.98,90.85,21.55,21.05,21.48
4338-2014,PRV12033,Moore Theological College Council,2014,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,321.45,soc_cult,1.0,0.0,0.0,0.072,0.019,0.4,0.058,21.661,36.091,96.73,100.0,96.79,14.19,33.33,14.57
4340-2014,PRV12139,Monash College Pty Ltd,2014,pathway,not_for_profit,private,not_for_profit,NUHEP,current,1556.125,mge_com,0.715,1.312,0.461,0.0,0.969,0.569,0.164,19.744,45.801,79.0,82.82,82.7,17.65,12.13,12.43
4341-2014,PRV12127,Harvest Bible College Ltd,2014,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,155.239,soc_cult,1.0,0.0,0.0,0.274,0.076,0.423,0.041,25.954,44.958,75.17,80.57,75.58,30.89,29.277,30.89
4343-2014,PRV12050,The Australian Institute of Music Limited,2014,other,not_for_profit,private,not_for_profit,NUHEP,current,1097.631,creat_art,0.88,0.529,0.211,0.033,0.049,0.43,0.065,26.68,46.803,80.98,85.15,81.18,24.75,26.32,24.83
4346-2014,PRV12064,Excelsia College,2014,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,349.478,education,0.534,1.365,0.576,0.653,0.016,0.162,0.171,17.862,21.308,91.41,97.78,91.51,22.12,0.0,21.93
4347-2014,PRV12047,Australian College of Christian Studies Ltd,2014,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,20.425,soc_cult,1.0,0.0,0.0,0.0,0.026,0.418,0.019,22.201,38.137,90.74,100.0,90.99,23.08,28.968,23.08
4355-2014,PRV12088,Adelaide College of Divinity Incorporated,2014,faith_based,not_for_profit,private,not_for_profit,NUHEP,current,37.263,soc_cult,1.0,0.0,0.0,0.227,0.007,0.372,0.0,21.806,34.729,76.11,100.0,76.29,48.39,31.436,48.39
4359-2014,PRV12048,The College of Law Limited,2014,other,not_for_profit,private,not_for_profit,NUHEP,current,1645.845,soc_cult,1.0,0.0,0.0,1.0,0.027,0.113,0.214,13.651,15.39,99.12,98.46,99.1,9.4,8.89,9.38
