ref_year,provider_code,code_year,provider_name,citizenship,attrition_rate
2014,4389,4389-2015,Cairnmillar Institute School,International,33.33
2014,4391,4391-2015,Eynesbury,International,19.1
2014,4394,4394-2015,William Angliss Institute of TAFE,International,13.5
2014,4396,4396-2015,LCI Melbourne,International,100
2014,4401,4401-2015,Whitehouse Institute of Design; Australia,International,22.22
2014,4402,4402-2015,Leo Cussen Institute,International,0
2014,4403,4403-2015,Harvest West Bible College Inc,International,100
2014,4406,4406-2015,Canberra Institute of Technology,International,0
2014,4407,4407-2015,Alphacrucis College,International,0
2014,4409,4409-2015,Universal Business School Sydney (UBSS),International,41.47
2014,4411,4411-2015,Stotts Colleges,International,43.23
2014,4412,4412-2015,Morling College,International,50
2014,4413,4413-2015,University College London,International,0
2014,4414,4414-2015,Chifley Business School,International,66.67
2014,4415,4415-2015,Top Education Institute,International,12.01
2014,4417,4417-2015,La Trobe Melbourne,International,25.22
2014,4418,4418-2015,Australian School of Management,International,30
2014,4420,4420-2015,Kent Institute Australia,International,31.61
2014,4421,4421-2015,Le Cordon Bleu Australia,International,7.65
2014,4423,4423-2015,Tabor College Perth,International,33.33
2014,4424,4424-2015,Kaplan Higher Education,International,40.17
2014,4425,4425-2015,Australian Institute of Business,International,12.12
2014,4426,4426-2015,John Paul ll Institute for Marriage and Family,International,0
2014,4428,4428-2015,Nan Tien Institute,International,40
2014,4449,4449-2015,Torrens University Australia,International,0
2014,4450,4450-2015,TAFE Queensland,International,23.08
2014,7073,7073-2015,Chisholm Institute,International,41.18
2014,7075,7075-2015,TAFE NSW,International,21.59
2014,7116,7116-2015,Study Group Australia Pty Ltd,International,23.31
2014,7124,7124-2015,Academy of Information Technology,International,29.09
2014,7125,7125-2015,Phoenix Institute of Australia Pty Ltd,International,0
2014,7252,7252-2015,AIPE,International,16
2014,7338,7338-2015,TAFE SA,International,0
2015,1019,1019-2016,James Cook University,International,22.73
2015,1034,1034-2016,Murdoch University,International,12.58
2015,1055,1055-2016,The University of Western Australia,International,4.47
2015,1058,1058-2016,University of Wollongong,International,14.45
2015,2154,2154-2016,Federation University Australia,International,34.18
2015,2177,2177-2016,Swinburne University of Technology,International,15.89
2015,2200,2200-2016,CQUniversity,International,14.3
2015,2201,2201-2016,University of Southern Queensland,International,19.91
2015,2235,2235-2016,Edith Cowan University,International,14.33
2015,2236,2236-2016,Curtin University,International,16.56
2015,2241,2241-2016,University of Canberra,International,14.18
2015,2252,2252-2016,Avondale College of Higher Education,International,12.5
2015,3001,3001-2016,Charles Darwin University,International,36.64
2015,3003,3003-2016,Bond University,International,7
2015,3004,3004-2016,Western Sydney University,International,18.86
2015,3005,3005-2016,Charles Sturt University,International,10.13
2015,3006,3006-2016,Australian Catholic University,International,15.88
2015,3007,3007-2016,Victoria University,International,18.66
2015,3010,3010-2016,The University of Adelaide,International,4.2
2015,3013,3013-2016,University of New South Wales,International,4.87
2015,3014,3014-2016,The University of Newcastle,International,9.46
2015,3016,3016-2016,University of Technology Sydney,International,10.11
2015,3019,3019-2016,The University of Queensland,International,4.04
2015,3020,3020-2016,La Trobe University,International,14.11
2015,3025,3025-2016,Macquarie University,International,8.53
2015,3027,3027-2016,University of South Australia,International,7.68
2015,3029,3029-2016,Flinders University,International,8.33
2015,3030,3030-2016,Deakin University,International,9.85
2015,3032,3032-2016,Griffith University,International,12.12
2015,3033,3033-2016,The Australian National University,International,3.97
2015,3034,3034-2016,RMIT University,International,8.31
2015,3035,3035-2016,Monash University,International,4.9
2015,3036,3036-2016,The University of Melbourne,International,2.7
2015,3038,3038-2016,Southern Cross University,International,28.55
2015,3039,3039-2016,The University of New England,International,7.79
2015,3040,3040-2016,The University of Sydney,International,4.03
2015,3042,3042-2016,Queensland University of Technology,International,10.14
