code_year,prv,provider_name,ref_year,type,TEQSA_type,ownership,profit,affiliation,affil_status,eftsl_sum,primary_bfoe,primary_bfoe_prop,bfoe_entropy,bfoe_gini_impurity,postgrad_prop,int_prop,sessional_prop,senior_prop,ssr_all,ssr_salaried,success_dom,success_int,success_all,attrition_dom,attrition_int,attrition_all
1055-2014,PRV12169,The University of Western Australia,2014,university,university,public,not_for_profit,Go8,current,18716.062,nat_phys_sci,0.375,2.423,0.766,0.146,0.159,0.076,0.286,11.246,12.169,91.66,91.53,91.64,9.08,5.81,8.64
4413-2014,PRV12106,University College London,2014,university,university,public,not_for_profit,non_aligned,current,38.875,engineering,1.0,0.0,0.0,1.0,0.695,0.133,0.277,0.01,0.012,95.65,98.93,97.85,15.0,0.0,9.09
2241-2014,PRV12003,University of Canberra,2014,university,university,public,not_for_profit,non_aligned,current,10496.3,mge_com,0.258,2.865,0.841,0.143,0.21,0.21,0.284,20.566,26.027,83.14,78.21,82.1,16.78,9.27,15.25
4331-2014,PRV12135,University of Divinity,2014,university,university,public,not_for_profit,non_aligned,current,614.624,soc_cult,1.0,0.0,0.0,0.541,0.125,0.14,0.189,5.574,6.479,94.0,97.17,94.4,22.06,8.89,20.96
3039-2014,PRV12054,University of New England,2014,university,university,public,not_for_profit,RUN,current,10816.5,soc_cult,0.362,2.595,0.786,0.221,0.045,0.065,0.233,19.726,21.108,79.96,87.5,80.3,22.69,5.88,22.14
3013-2014,PRV12055,University of New South Wales,2014,university,university,public,not_for_profit,Go8,current,35384.178,mge_com,0.234,2.834,0.837,0.204,0.241,0.136,0.248,9.88,11.433,93.35,92.53,93.15,9.17,5.72,8.44
3014-2014,PRV12056,University of Newcastle,2014,university,university,public,not_for_profit,IRU,former,21132.875,health,0.252,2.94,0.846,0.161,0.097,0.198,0.209,15.991,19.944,87.31,85.94,87.18,16.2,7.62,15.01
3027-2014,PRV12107,University of South Australia,2014,university,university,public,not_for_profit,ATN,current,20187.75,health,0.249,2.933,0.846,0.139,0.174,0.244,0.145,13.549,17.914,88.16,89.43,88.38,19.08,5.48,16.88
2201-2014,PRV12081,University of Southern Queensland,2014,university,university,public,not_for_profit,RUN,current,12895.125,mge_com,0.24,2.746,0.83,0.23,0.195,0.326,0.16,17.676,26.245,77.27,82.21,78.24,26.3,11.11,25.31
3045-2014,PRV12110,University of Tasmania,2014,university,university,public,not_for_profit,non_aligned,current,16268.306,health,0.294,2.861,0.832,0.139,0.136,0.159,0.181,12.825,15.255,84.23,87.32,84.65,31.32,11.773,31.32
3016-2014,PRV12060,University of Technology Sydney,2014,university,university,public,not_for_profit,ATN,current,25498.063,mge_com,0.322,2.858,0.829,0.228,0.241,0.282,0.217,18.424,25.671,91.2,88.98,90.66,9.99,8.77,9.67
3043-2014,PRV12082,University of the Sunshine Coast,2014,university,university,public,not_for_profit,RUN,current,7098.688,health,0.3,2.789,0.824,0.089,0.105,0.265,0.156,17.196,23.386,86.75,87.06,86.78,21.8,15.35,21.08
1058-2014,PRV12062,University of Wollongong,2014,university,university,public,not_for_profit,non_aligned,current,16499.001,mge_com,0.219,2.905,0.855,0.172,0.186,0.206,0.233,12.737,16.033,89.5,85.09,88.68,11.69,11.82,11.73
3007-2014,PRV12152,Victoria University,2014,university,university,public,not_for_profit,non_aligned,current,15186.685,mge_com,0.226,2.576,0.809,0.124,0.188,0.264,0.175,16.715,22.698,81.14,79.66,80.86,21.54,16.97,20.72
3004-2014,PRV12061,Western Sydney University,2014,university,university,public,not_for_profit,IRU,current,30939.5,soc_cult,0.285,2.779,0.821,0.115,0.091,0.299,0.191,20.2,28.818,82.3,83.58,82.41,12.58,17.52,12.77
3006-2015,PRV12008,Australian Catholic University Limited,2015,university,university,public,not_for_profit,non_aligned,current,22773.75,health,0.453,1.903,0.674,0.126,0.092,0.351,0.165,21.021,32.393,89.26,89.34,89.27,16.69,11.81,16.29
