ref_year,provider_code,code_year,provider_name,success_rate
2013,3014,3014-2013,The University of Newcastle,86.32
2013,3016,3016-2013,University of Technology Sydney,90.37
2013,3019,3019-2013,The University of Queensland,90.2
2013,3020,3020-2013,La Trobe University,88.28
2013,3025,3025-2013,Macquarie University,86.65
2013,3027,3027-2013,University of South Australia,88.26
2013,3029,3029-2013,Flinders University,87.1
2013,3030,3030-2013,Deakin University,84.04
2013,3032,3032-2013,Griffith University,87.32
2013,3033,3033-2013,The Australian National University,93.16
2013,3034,3034-2013,RMIT University,87.94
2013,3035,3035-2013,Monash University,91.09
2013,3036,3036-2013,The University of Melbourne,94.7
2013,3038,3038-2013,Southern Cross University,78.2
2013,3039,3039-2013,The University of New England,80.41
2013,3040,3040-2013,The University of Sydney,91.43
2013,3042,3042-2013,Queensland University of Technology,87.92
2013,3043,3043-2013,University of the Sunshine Coast,85.84
2013,3044,3044-2013,The University of Notre Dame Australia,90.99
2013,3045,3045-2013,University of Tasmania,84.6
2013,4331,4331-2013,University of Divinity,93.69
2013,4333,4333-2013,Christian Heritage College,81.23
2013,4334,4334-2013,Tabor Adelaide,84.6
2013,4335,4335-2013,Australian College of Theology,91.48
2013,4336,4336-2013,Australian College of Applied Psychology,77.58
2013,4337,4337-2013,Eastern College Australia,90.62
2013,4338,4338-2013,Moore Theological College,95.82
2013,4339,4339-2013,Holmes Institute,66.07
2013,4340,4340-2013,Monash College,79.91
2013,4341,4341-2013,Harvest Bible College,75.78
2013,4343,4343-2013,Australian Institute of Music,100
2013,4344,4344-2013,South Aust Institute of Business & Technology,65.92
2013,4346,4346-2013,Excelsia College,92.04
2013,4347,4347-2013,Tabor College NSW,89.81
2013,4348,4348-2013,Deakin College,64.74
2013,4349,4349-2013,Sydney Institute of Business and Technology,71.87
2013,4350,4350-2013,Queensland Institute of Business and Technology,69.78
2013,4351,4351-2013,Navitas College of Public Safety Pty Ltd,69.36
2013,4352,4352-2013,The Australian College of Physical Education,83.67
2013,4355,4355-2013,Adelaide College of Divinity,89.76
2013,4357,4357-2013,Blue Mountains Intl Hotel Management School,93.11
