provider_name,provider_code,prv,affiliation,affil_status,profit,type,ownership,TEQSA_type
Relationships Australia (NSW),4429,PRV12040,,,not_for_profit,other,private,not_for_profit
Wentworth Institute of Higher Education Pty Ltd,4434,PRV12063,,,for_profit,for_profit,private,for_profit
Investment Banking Institute Business School Pty Ltd,4445,PRV12188,,,for_profit,for_profit,private,for_profit
TAFE Queensland,4450,PRV13003,,,not_for_profit,TAFE,public,TAFE
Australasian College of Health and Wellness,4453,PRV13002,,,for_profit,for_profit,private,for_profit
S P Jain School of Global Management Pty Limited,4455,PRV12041,,,for_profit,for_profit,private,for_profit
Australian Institute of Management Education and Training Pty Limited,4458,PRV12071,,,for_profit,for_profit,private,for_profit
Australian College of Nursing Ltd,4464,PRV14001,,,not_for_profit,other,private,not_for_profit
South Metropolitan TAFE,4468,PRV14272,,,not_for_profit,TAFE,public,TAFE
Western Sydney University,3004,PRV12061,IRU,current,not_for_profit,university,public,university
The Cairnmillar Institute,6043,PRV14003,,,not_for_profit,other,private,not_for_profit
BBI The Australian Institute of Theological Education,6044,PRV14082,,,not_for_profit,faith_based,private,not_for_profit
Australian College of the Arts Pty Ltd,7001,PRV12187,,,for_profit,for_profit,private,for_profit
Jazz Music Institute Pty Ltd,7014,PRV12084,,,for_profit,for_profit,private,for_profit
Photography Holdings Pty Ltd,7035,PRV12200,,,for_profit,for_profit,private,for_profit
Sydney Institute of Health Sciences Pty. Limited,7041,PRV12177,,,not_for_profit,other,private,not_for_profit
West Coast Institute of Training,7067,PRV13004,,,not_for_profit,TAFE,public,TAFE
Central Institute of Technology,7072,PRV14018,,,not_for_profit,TAFE,public,TAFE
Chisholm Institute,7073,PRV12123,,,not_for_profit,TAFE,public,TAFE
Technical and Further Education Commission,7075,PRV12049,,,not_for_profit,TAFE,public,TAFE
Study Group Australia Pty Limited,7116,PRV12044,,,for_profit,for_profit,private,for_profit
Academy of Information Technology Pty Ltd,7124,PRV12005,,,for_profit,for_profit,private,for_profit
Phoenix Institute of Australia Pty Ltd,7125,PRV12144,,,for_profit,for_profit,private,for_profit
Proteus Technologies Pty Ltd,7197,PRV14055,,,for_profit,for_profit,private,for_profit
Victorian Institute of Technology Pty Ltd,7221,PRV14007,,,for_profit,for_profit,private,for_profit
Australian Institute of Professional Education Pty Ltd,7252,PRV13001,,,for_profit,for_profit,private,for_profit
TAFE SA,7338,PRV14002,,,not_for_profit,TAFE,public,TAFE
North Metropolitan TAFE,8071,PRV14273,,,not_for_profit,TAFE,public,TAFE
