provider_code,code_year,provider_name,attrition_rate
4426,4426-2014,John Paul ll Institute for Marriage and Family,23.81
4427,4427-2014,Vose College,100
4428,4428-2014,Nan Tien Institute,25
4450,4450-2014,TAFE Queensland,9.81
7001,7001-2014,Collarts,25.51
7014,7014-2014,Jazz Music Institute,12.5
7035,7035-2014,Photography Studies College (Melbourne),27.12
7041,7041-2014,Sydney Institute of Traditional Chinese Medicine,38.46
7073,7073-2014,Chisholm Institute,25.68
7075,7075-2014,TAFE NSW,24.24
7116,7116-2014,Study Group Australia Pty Ltd,28.71
7124,7124-2014,Academy of Information Technology,22.22
7125,7125-2014,Phoenix Institute of Australia Pty Ltd,21.43
7338,7338-2014,TAFE SA,46.63
1019,1019-2015,James Cook University,21.41
1034,1034-2015,Murdoch University,17.46
1055,1055-2015,The University of Western Australia,8.46
1058,1058-2015,University of Wollongong,11.24
2148,2148-2015,The National Institute of Dramatic Art,22.97
2154,2154-2015,Federation University Australia,22.16
2170,2170-2015,Marcus Oldham College,6.6
2177,2177-2015,Swinburne University of Technology,23.06
2200,2200-2015,CQUniversity,20.33
2201,2201-2015,University of Southern Queensland,23.18
2235,2235-2015,Edith Cowan University,19.25
2236,2236-2015,Curtin University,14.25
2241,2241-2015,University of Canberra,16.04
2252,2252-2015,Avondale College of Higher Education,17.92
2271,2271-2015,"Australian Film, Television and Radio School",2.59
3001,3001-2015,Charles Darwin University,24.48
3003,3003-2015,Bond University,10.28
3004,3004-2015,Western Sydney University,13.79
3005,3005-2015,Charles Sturt University,20.22
3006,3006-2015,Australian Catholic University,16.29
3007,3007-2015,Victoria University,20.81
3010,3010-2015,The University of Adelaide,10.03
3013,3013-2015,University of New South Wales,7.76
3014,3014-2015,The University of Newcastle,16.52
3016,3016-2015,University of Technology Sydney,9.32
3019,3019-2015,The University of Queensland,9.98
3020,3020-2015,La Trobe University,12.68
3025,3025-2015,Macquarie University,10.51
3027,3027-2015,University of South Australia,16.23
3029,3029-2015,Flinders University,18.83
3030,3030-2015,Deakin University,14.73
3032,3032-2015,Griffith University,14.95
3033,3033-2015,The Australian National University,8.98
3034,3034-2015,RMIT University,11.47
3035,3035-2015,Monash University,8.03
3036,3036-2015,The University of Melbourne,5.73
3038,3038-2015,Southern Cross University,26.05
3039,3039-2015,The University of New England,22.81
3040,3040-2015,The University of Sydney,7.27
3042,3042-2015,Queensland University of Technology,13.02
3043,3043-2015,University of the Sunshine Coast,19.41
3044,3044-2015,The University of Notre Dame Australia,11.11
3045,3045-2015,University of Tasmania,34.68
4331,4331-2015,University of Divinity,19.69
4332,4332-2015,Sydney College of Divinity,21.59
4333,4333-2015,Christian Heritage College,29.91
4334,4334-2015,Tabor Adelaide,27.07
4335,4335-2015,Australian College of Theology,22.67
4336,4336-2015,Australian College of Applied Psychology,27.15
4337,4337-2015,Eastern College Australia,26.09
4338,4338-2015,Moore Theological College,18.1
4339,4339-2015,Holmes Institute,33.68
4340,4340-2015,Monash College,10.41
4341,4341-2015,Harvest Bible College,28.21
4343,4343-2015,Australian Institute of Music,23.5
4344,4344-2015,South Aust Institute of Business & Technology,31.44
4346,4346-2015,Excelsia College,18.57
4347,4347-2015,Tabor College NSW,16.67
4348,4348-2015,Deakin College,28.57
4349,4349-2015,Sydney Institute of Business and Technology,14.88
4350,4350-2015,Queensland Institute of Business and Technology,22.7
4352,4352-2015,The Australian College of Physical Education,26.51
4355,4355-2015,Adelaide College of Divinity,50
4357,4357-2015,Blue Mountains Intl Hotel Management School,10.24
4359,4359-2015,The College of Law,21.54
4360,4360-2015,Perth Bible College,43.75
4361,4361-2015,Endeavour College of Natural Health,31.54
4362,4362-2015,International College of Hotel Management,15.19
4363,4363-2015,Northern Melbourne Institute of TAFE,30.95
4364,4364-2015,Edith Cowan College,24.19
4365,4365-2015,Curtin College,9.56
4366,4366-2015,Box Hill Institute,28.28
4367,4367-2015,Melbourne Institute of Technology,25.31
4368,4368-2015,Campion College,7.32
4370,4370-2015,Tabor College Tasmania,48.48
4371,4371-2015,SAE Creative Media Institute,32.55
4374,4374-2015,Carnegie Mellon University Australia,0.95
4375,4375-2015,Think: Colleges Pty Ltd,37.89
4377,4377-2015,UOW College,19.15
4378,4378-2015,JMC Academy,30.5
4380,4380-2015,UTS:INSEARCH,17.07
4381,4381-2015,"International College of Management, Sydney",24.33
4382,4382-2015,Australian Guild of Music Education Inc.,44.44
4383,4383-2015,Holmesglen Institute of TAFE,28.89
4384,4384-2015,Kaplan Business School,31.63
4385,4385-2015,Polytechnic West,30.08
4386,4386-2015,Macleay College,3.41
4387,4387-2015,Raffles College of Design and Commerce,13.07
4388,4388-2015,Australian Academy of Music and Performing Arts,25.42
4389,4389-2015,Cairnmillar Institute School,12.17
4391,4391-2015,Eynesbury,19.12
4392,4392-2015,Gestalt Therapy Brisbane,8
4393,4393-2015,MIECAT,21.05
4394,4394-2015,William Angliss Institute of TAFE,16.87
4395,4395-2015,Adelaide Central School of Art,22.95
4396,4396-2015,LCI Melbourne,24.39
4401,4401-2015,Whitehouse Institute of Design; Australia,18.18
4402,4402-2015,Leo Cussen Institute,0
4403,4403-2015,Harvest West Bible College Inc,72.41
4405,4405-2015,Australian Institute of Professional Counsellors,41.96
4406,4406-2015,Canberra Institute of Technology,18.18
4407,4407-2015,Alphacrucis College,28.9
4409,4409-2015,Universal Business School Sydney (UBSS),41.47
4410,4410-2015,Australian Institute of Management SA Division Inc,40
4411,4411-2015,Stotts Colleges,43.23
4412,4412-2015,Morling College,39.6
4413,4413-2015,University College London,25
4414,4414-2015,Chifley Business School,31.5
4415,4415-2015,Top Education Institute,12.09
4417,4417-2015,La Trobe Melbourne,22.6
4418,4418-2015,Australian School of Management,30.43
4419,4419-2015,National Art School,10.23
4420,4420-2015,Kent Institute Australia,31.61
4421,4421-2015,Le Cordon Bleu Australia,8.47
4423,4423-2015,Tabor College Perth,40
4424,4424-2015,Kaplan Higher Education,30.83
4425,4425-2015,Australian Institute of Business,19.08
4426,4426-2015,John Paul ll Institute for Marriage and Family,11.11
4428,4428-2015,Nan Tien Institute,29.73
4429,4429-2015,Australian Institute for Relationship Studies,100
4445,4445-2015,Investment Banking Institute Business School,16.67
4449,4449-2015,Torrens University Australia,34.25
4450,4450-2015,TAFE Queensland,26.44
7001,7001-2015,Collarts,25.56
7007,7007-2015,Paramount College of Natural Medicine,40
7014,7014-2015,Jazz Music Institute,0
7035,7035-2015,Photography Studies College (Melbourne),7.02
7041,7041-2015,Sydney Institute of Traditional Chinese Medicine,22.78
7073,7073-2015,Chisholm Institute,37.18
7075,7075-2015,TAFE NSW,25.92
7116,7116-2015,Study Group Australia Pty Ltd,24.16
7124,7124-2015,Academy of Information Technology,28.47
7125,7125-2015,Phoenix Institute of Australia Pty Ltd,41.18
7252,7252-2015,AIPE,19.86
7338,7338-2015,TAFE SA,36.84
1019,1019-2016,James Cook University,21.25
1034,1034-2016,Murdoch University,18.05
1055,1055-2016,The University of Western Australia,7.17
1058,1058-2016,University of Wollongong,12.73
2148,2148-2016,The National Institute of Dramatic Art,2.74
2154,2154-2016,Federation University Australia,27.18
2170,2170-2016,Marcus Oldham College,9.26
2177,2177-2016,Swinburne University of Technology,22.39
2200,2200-2016,CQUniversity,20.17
2201,2201-2016,University of Southern Queensland,24.65
2235,2235-2016,Edith Cowan University,20.21
2236,2236-2016,Curtin University,16.49
2241,2241-2016,University of Canberra,17.39
2252,2252-2016,Avondale College of Higher Education,17.65
2271,2271-2016,"Australian Film, Television and Radio School",11.96
3001,3001-2016,Charles Darwin University,29.51
3003,3003-2016,Bond University,8.06
3004,3004-2016,Western Sydney University,15.86
3005,3005-2016,Charles Sturt University,20.51
3006,3006-2016,Australian Catholic University,15.41
3007,3007-2016,Victoria University,18.52
3010,3010-2016,The University of Adelaide,9.21
3013,3013-2016,University of New South Wales,7.42
3014,3014-2016,The University of Newcastle,16.09
3016,3016-2016,University of Technology Sydney,9.73
3019,3019-2016,The University of Queensland,9.09
3020,3020-2016,La Trobe University,14.12
3025,3025-2016,Macquarie University,9.55
3027,3027-2016,University of South Australia,15.71
3029,3029-2016,Flinders University,16.26
3030,3030-2016,Deakin University,14.72
3032,3032-2016,Griffith University,16.2
3033,3033-2016,The Australian National University,13.72
3034,3034-2016,RMIT University,11.07
3035,3035-2016,Monash University,8.51
