provider_code,code_year,provider_name,citizenship,attrition_rate
4336,4336-2014,Australian College of Applied Psychology,Domestic,36.94
4337,4337-2014,Eastern College Australia,Domestic,21.55
4338,4338-2014,Moore Theological College,Domestic,14.19
4339,4339-2014,Holmes Institute,Domestic,41.35
4340,4340-2014,Monash College,Domestic,17.65
4341,4341-2014,Harvest Bible College,Domestic,30.89
4343,4343-2014,Australian Institute of Music,Domestic,24.75
4344,4344-2014,South Aust Institute of Business & Technology,Domestic,35.43
4346,4346-2014,Excelsia College,Domestic,22.12
4347,4347-2014,Tabor College NSW,Domestic,23.08
4348,4348-2014,Deakin College,Domestic,24.46
4349,4349-2014,Sydney Institute of Business and Technology,Domestic,13.75
4350,4350-2014,Queensland Institute of Business and Technology,Domestic,29.06
4351,4351-2014,Navitas College of Public Safety Pty Ltd,Domestic,32.87
4352,4352-2014,The Australian College of Physical Education,Domestic,29.2
4355,4355-2014,Adelaide College of Divinity,Domestic,48.39
4357,4357-2014,Blue Mountains Intl Hotel Management School,Domestic,14.06
4359,4359-2014,The College of Law,Domestic,9.4
4360,4360-2014,Perth Bible College,Domestic,49.02
4361,4361-2014,Endeavour College of Natural Health,Domestic,31.75
4362,4362-2014,International College of Hotel Management,Domestic,17.39
4363,4363-2014,Northern Melbourne Institute of TAFE,Domestic,31.14
4364,4364-2014,Edith Cowan College,Domestic,24.68
4365,4365-2014,Curtin College,Domestic,19.5
4366,4366-2014,Box Hill Institute,Domestic,22.62
4367,4367-2014,Melbourne Institute of Technology,Domestic,31.58
4368,4368-2014,Campion College,Domestic,16.67
4370,4370-2014,Tabor College Tasmania,Domestic,48.28
4371,4371-2014,SAE Creative Media Institute,Domestic,30.05
4374,4374-2014,Carnegie Mellon University Australia,Domestic,0
4375,4375-2014,Think: Colleges Pty Ltd,Domestic,33.75
4377,4377-2014,UOW College,Domestic,21.05
4378,4378-2014,JMC Academy,Domestic,26.93
4380,4380-2014,UTS:INSEARCH,Domestic,18.41
4381,4381-2014,"International College of Management, Sydney",Domestic,24.38
4382,4382-2014,Australian Guild of Music Education Inc.,Domestic,33.33
4383,4383-2014,Holmesglen Institute of TAFE,Domestic,35.93
4384,4384-2014,Kaplan Business School,Domestic,33.67
4385,4385-2014,Polytechnic West,Domestic,30.65
4386,4386-2014,Macleay College,Domestic,27
4387,4387-2014,Raffles College of Design and Commerce,Domestic,12.61
4388,4388-2014,Australian Academy of Music and Performing Arts,Domestic,17.86
4389,4389-2014,Cairnmillar Institute School,Domestic,8.25
4391,4391-2014,Eynesbury,Domestic,33.33
4392,4392-2014,Gestalt Therapy Brisbane,Domestic,7.69
4393,4393-2014,MIECAT,Domestic,13.11
4394,4394-2014,William Angliss Institute of TAFE,Domestic,22.58
4395,4395-2014,Adelaide Central School of Art,Domestic,23.81
