"","provider_name","provider_code","prv","affiliation","affil_status","profit","type","ownership","code_year","ref_year","success_all","success_dom","success_int","attrition_all","attrition_dom","attrition_int","all_fte","salaried_fte","senior_fte","senior_headcount","sessional_fte","sessional_prop","senior_prop","eftsl","int_prop","postgrad_prop","first_bfoe","first_bfoe_prop","bfoe_entropy","bfoe_gini_impurity","ssr_all","ssr_salaried"
"344","Australasian College of Health and Wellness",4453,"PRV13002","NUHEP","current","for_profit","for_profit","private","4453-2015",2015,68.1,68.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0,0,"health",1,0,0,NA,NA
"345","Australian Institute of Management Education & Training",4458,"PRV12071","NUHEP","current","for_profit","for_profit","private","4458-2015",2015,80,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,"mge_com",1,0,0,NA,NA
"346","Torrens University Australia",5555,"PRV12209","non_aligned","current","for_profit","university","private","5555-2015",2015,78.2,78.17,83.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,0,0.73,"mge_com",0.65256,1.60231024342213,0.541284921,NA,NA
"347","Collarts",7001,"PRV12187","NUHEP","current","for_profit","for_profit","private","7001-2015",2015,81.92,81.63,100,25.56,25.56,NA,NA,NA,NA,NA,NA,NA,NA,216,0.02,0,"creat_art",0.68608,0.8976467229608,0.4307484672,NA,NA
"348","Jazz Music Institute",7014,"PRV12084","NUHEP","current","for_profit","for_profit","private","7014-2015",2015,89.56,89.56,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,60,0,0,"creat_art",1,0,0,NA,NA
"349","Chisholm Institute",7073,"PRV12123","NUHEP","current","not_for_profit","TAFE","public","7073-2015",2015,82.91,83.83,81.84,37.18,34.09,41.18,NA,NA,NA,NA,NA,NA,NA,148,0.46,0,"engineering",0.57608,1.31160965168219,0.5516987936,NA,NA
"350","TAFE NSW",7075,"PRV12049","NUHEP","current","not_for_profit","TAFE","public","7075-2015",2015,86.29,86.59,85.37,25.92,27.01,21.59,NA,NA,NA,NA,NA,NA,NA,956,0.25,0,"education",0.31234,2.34710406899082,0.7836094342,NA,NA
"351","Study Group Australia Pty Ltd",7116,"PRV12044","NUHEP","current","for_profit","for_profit","private","7116-2015",2015,72.29,55.87,76.32,24.16,26.67,23.31,NA,NA,NA,NA,NA,NA,NA,317,0.79,0,"mge_com",0.76331,0.789492399114152,0.3613356878,NA,NA
"352","Academy of Information Technology",7124,"PRV12005","NUHEP","current","for_profit","for_profit","private","7124-2015",2015,40.42,33.22,46.19,28.47,28.05,29.09,NA,NA,NA,NA,NA,NA,NA,307,0.55,0,"creat_art",0.77373,0.771452190276169,0.3501437742,NA,NA
"353","TAFE SA",7338,"PRV14002","NUHEP","current","not_for_profit","TAFE","public","7338-2015",2015,82.96,83.5,72.16,36.84,41.18,0,NA,NA,NA,NA,NA,NA,NA,122,0.05,0,"creat_art",0.80608,0.7096001469014,0.3126300672,NA,NA
"354","James Cook University",1019,"PRV12077","IRU","current","not_for_profit","university","public","1019-2016",2016,85.19,85.69,82.39,21.25,20.93,22.73,865.42,717.24,219.59,247,148.18,0.17122322109496,0.253738069376719,11976,0.15,0.14,"health",0.38778,2.54301725485185,0.7748028017,13.8383674978623,16.6973398025765
"355","Murdoch University",1034,"PRV12163","IRU","current","not_for_profit","university","public","1034-2016",2016,84.2,83.41,90.16,18.05,18.75,12.58,776.98,524.67,134.33,145,252.31,0.32473165332441,0.172887333007285,9223,0.12,0.11,"soc_cult",0.31791,2.52911504115532,0.7942074138,11.8703184123143,17.5786684963882
"356","The University of Western Australia",1055,"PRV12169","Go8","current","not_for_profit","university","public","1055-2016",2016,90.83,90.9,90.56,7.17,7.63,4.47,1574.76,1446.13,475.35,518,128.63,0.0816822880946937,0.301855520841271,17634,0.18,0.29,"nat_phys_sci",0.36812,2.46161482087623,0.773459872,11.1978968223729,12.1939244742865
"357","University of Wollongong",1058,"PRV12062","non_aligned","current","not_for_profit","university","public","1058-2016",2016,88,89.1,84,12.73,12.16,14.45,1249.52,976.61,305.79,325,272.91,0.218411870158141,0.244725974774313,18068,0.22,0.17,"mge_com",0.224,2.88751869895449,0.8513919299,14.4599526218068,18.5007321243895
